Iteração,Sum1,Sum2,Sum3
1,37121,36427,36672
2,37392,36536,37043
3,37094,36467,36661
4,36348,35200,35717
5,36396,35985,36360
6,36856,35854,36106
7,36634,35357,36363
8,36279,35806,35814
9,35911,35421,35703
10,36035,35419,35715
11,36461,35346,36314
12,35955,35505,35188
13,36448,35795,35863
14,35775,35715,35619
15,35705,35253,35182
16,35793,35222,35214
17,35925,34789,34963
18,35958,34500,35457
19,35865,35232,35362
20,35812,35562,35334
21,36144,36034,36162
22,36451,35309,35815
23,35743,34893,34934
24,36070,34751,34875
25,36058,35710,35514
26,35998,35649,35872
27,35824,35098,35594
28,35625,34427,34787
29,35761,35663,35395
30,35552,35097,35326
31,35516,34784,35128
32,35644,34932,35196
33,35516,34841,35293
34,36008,35318,35458
35,35244,34871,34855
36,35741,34861,35467
37,35830,35567,35517
38,35869,35841,35807
39,35698,34462,35093
40,35843,35367,35189
41,35570,34692,35027
42,35747,35529,35356
43,35685,35799,35760
44,36239,35939,36165
45,35755,35518,35496
46,36091,35659,35626
47,35609,35248,35241
48,35897,34730,35061
49,35838,34930,34910
50,35783,35031,35440
51,36036,35102,35312
52,35951,35048,35893
53,36109,35482,35627
54,36124,35317,35716
55,35900,35211,35618
56,36326,35937,35969
57,36104,35113,35583
58,36812,36924,36849
59,36787,36714,36539
60,36372,36495,36366
61,36646,35883,36095
62,36611,36385,35972
63,36339,35703,35856
64,36247,36235,35896
65,36478,35944,35784
66,36408,36110,36005
67,37012,37284,36975
68,36377,35863,36351
69,36584,36552,36618
70,36604,36104,36209
71,36785,36498,36152
72,36799,36382,36519
73,36461,35295,36195
74,36069,35419,35930
75,36304,36357,36336
76,36484,35589,36335
77,35898,35974,35744
78,36377,35811,36088
79,36560,35980,36054
80,36169,35359,36029
81,36720,35937,36044
82,36581,35569,36234
83,36462,35605,35958
84,36630,35764,35843
85,36239,35596,35686
86,36337,35742,36181
87,36313,35735,35610
88,36389,35393,35887
89,36500,36362,36172
90,36193,34921,35752
91,36639,36155,36220
92,36715,36394,36522
93,36808,35688,36000
94,36372,35872,35684
95,36244,36065,35697
96,36728,36153,35963
97,36306,35917,36163
98,36455,36347,36286
99,36252,36149,35852
100,36431,35576,35990
101,36050,34951,35507
102,36140,35692,35929
103,36371,35810,35925
104,36026,35135,35718
105,36214,35369,35522
106,36315,35970,36023
107,36313,35845,35972
108,36685,36093,36285
109,36361,35309,35509
110,36137,35314,35886
111,36632,35667,35732
112,36958,36331,36536
113,36842,36234,36401
114,36349,35503,35932
115,36852,35571,35967
116,36855,36261,36674
117,36835,35973,36046
118,36846,36494,36776
119,36913,36450,36774
120,37035,35995,36471
121,36649,36335,36208
122,37272,36983,37487
123,36929,35924,36413
124,37654,37111,37166
125,37293,36527,36837
126,37164,35896,36520
127,37265,37194,37315
128,37774,37495,37260
129,37827,36939,37409
130,37421,36292,37343
131,37587,36900,37256
132,37278,36820,36938
133,38009,37212,37379
134,37586,37606,37568
135,38023,37578,37919
136,37963,37029,37585
137,37654,36516,37385
138,37877,37607,37681
139,37790,36843,37362
140,37973,36816,37336
141,37785,37134,37646
142,38081,37595,37694
143,38559,38006,38320
144,38269,37550,37874
145,38545,37948,38392
146,38180,37762,37890
147,37878,36993,37583
148,38493,37561,37921
149,38983,38089,38324
150,38417,37770,37813
151,38248,37918,38265
152,38881,38122,38686
153,38491,38018,37953
154,39222,38166,38797
155,38477,38098,38153
156,38609,38181,38410
157,38370,37290,37951
158,38789,38443,38890
159,38500,37938,38273
160,39006,38375,38841
161,38447,37302,37978
162,38636,37758,37767
